User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration
1,Basic,10,15-01-22,10-06-23,United States,28,Male,Smartphone,1 Month
2,Premium,15,05-09-21,22-06-23,Canada,35,Female,Tablet,1 Month
3,Standard,12,28-02-23,27-06-23,United Kingdom,42,Male,Smart TV,1 Month
4,Standard,12,10-07-22,26-06-23,Australia,51,Female,Laptop,1 Month
5,Basic,10,01-05-23,28-06-23,Germany,33,Male,Smartphone,1 Month
6,Premium,15,18-03-22,27-06-23,France,29,Female,Smart TV,1 Month
7,Standard,12,09-12-21,25-06-23,Brazil,46,Male,Tablet,1 Month
8,Basic,10,02-04-23,24-06-23,Mexico,39,Female,Laptop,1 Month
9,Standard,12,20-10-22,23-06-23,Spain,37,Male,Smartphone,1 Month
10,Premium,15,07-01-23,22-06-23,Italy,44,Female,Smart TV,1 Month
11,Basic,10,16-05-22,22-06-23,United States,31,Female,Smartphone,1 Month
12,Premium,15,23-03-23,28-06-23,Canada,45,Male,Tablet,1 Month
13,Standard,12,30-11-21,27-06-23,United Kingdom,48,Female,Laptop,1 Month
14,Basic,10,01-08-22,26-06-23,Australia,27,Male,Smartphone,1 Month
15,Standard,12,09-05-23,28-06-23,Germany,38,Female,Smart TV,1 Month
